,Jaye Shimek,Leandro Marse,Annie Lapham,Harmony Mcmurtry,Zofia Roll,Tasia Dube,Lorrine Paek,Veronique Blakemore,Randall Feather,Michale Tuch,Jarvis Pratts,Vance Ates,Donte Berkeley,Tora Echevarria,Hassan Toner,Kyle Ryals,Vonk Billips,Julieta Knapp,Stephine Gatlin,Bebe Riva,Marthe Hale,Paulene Calcagni,Milagros Salmeron,Anisha Mathes,Layne Woodside,Lisette Tolleson,Andreas Jost,Jeannie Liang,Hwa Defalco,Aurea Durrance,Sal Papa,Narcisa Core,Bridgette Marko,Leatrice Heer,Remedios Fincham,Lavonna Sim,Lester Preiss,Augusta Beltrami,Grover Gibbons,Velvet Matley,Johnetta Hatcher,Petrina Maggart,Chung Zertuche,Adriene Wilde,Byron Caroll,Mellisa Blanco,Hettie Beller,Corrine Gallop,Angela Compos,Kiera Loar
2012-01-02,4,4,7,5,2,1,3,6,3,5,4,5,9,1,2,6,6,5,10,3,4,6,5,1,1,7,6,3,7,3,5,4,3,6,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-03,7,4,6,4,5,2,2,3,6,5,5,5,8,0,3,8,0,0,8,4,2,3,5,0,2,8,7,2,4,3,4,5,3,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-04,8,3,4,4,5,1,3,4,6,4,2,6,9,4,3,4,0,0,8,2,6,6,5,0,2,9,5,2,6,1,3,5,3,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-05,4,5,0,5,5,2,0,3,3,3,2,8,8,2,0,4,0,0,5,5,2,4,4,0,1,7,7,5,5,1,7,9,6,5,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-06,3,3,4,7,7,4,4,4,4,5,3,10,6,4,0,7,0,0,9,5,6,4,6,5,2,7,4,2,3,1,7,4,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-09,8,3,7,7,5,3,4,5,2,4,0,7,7,0,0,5,0,0,7,3,6,5,5,0,4,8,3,2,3,2,4,5,3,6,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-10,8,5,3,6,7,3,1,5,4,1,1,7,10,1,1,5,0,0,6,4,5,4,1,5,1,8,8,4,5,5,5,9,4,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-11,5,1,4,3,6,5,0,3,4,4,3,7,9,0,2,4,0,0,6,5,5,4,1,2,6,7,6,4,7,3,7,8,4,6,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-12,5,6,0,8,4,3,0,5,3,3,4,6,11,0,4,7,0,0,6,4,4,5,2,4,2,8,6,2,3,3,6,5,3,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-13,3,5,5,8,4,2,1,4,3,6,1,7,6,2,2,6,0,0,6,2,2,7,4,5,4,9,6,4,6,4,3,8,6,6,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-16,5,1,5,5,2,3,0,4,5,4,1,8,9,3,1,4,0,0,8,5,6,4,3,3,2,8,4,2,5,4,6,6,2,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-17,6,4,3,8,5,1,2,4,4,3,2,9,9,2,2,3,0,0,10,2,2,5,3,4,6,7,5,2,3,4,4,8,5,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-18,7,2,5,7,3,3,0,7,3,5,3,8,9,0,2,4,2,5,8,3,6,3,2,1,6,7,8,6,6,4,6,5,4,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-19,7,3,0,5,4,1,3,3,5,2,3,7,8,0,4,5,6,7,6,4,6,5,6,4,5,7,5,3,6,1,6,9,2,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-20,5,4,7,5,4,2,0,7,3,1,2,9,7,1,4,6,5,7,6,5,5,4,6,2,2,4,5,2,6,5,6,7,3,7,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-23,7,3,7,6,5,4,3,3,6,3,1,8,11,1,1,7,4,4,5,6,5,4,3,2,3,5,5,4,3,4,4,7,4,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
